"5042518",2,"2","F",16,"0","3","M","G","0"
"5042518",2,"1","F",46,"4","1","M","G","0"
"5042534",2,"2","F",40,"0","3","M","G","0"
"5042546",2,"3","F",24,"4","9","-","-","3"
"5042729",2,"1","F",23,"4","1","M","G","0"
"5042737",2,"2","M",29,"0","3","B","-","0"
"5042741",1,"2","M",998,"4","3","M","G","0"
"5042741",2,"2","M",998,"0","3","M","G","0"
"5042745",2,"1","F",34,"4","1","L","G","0"
"5043375",1,"2","M",19,"0","2","M","G","0"
"5043375",2,"2","F",45,"4","2","L","G","0"
"5043375",2,"2","F",23,"0","3","L","G","0"
"5043379",1,"2","F",60,"4","2","M","G","0"
"5043379",1,"1","F",36,"4","1","M","G","0"
"5043379",2,"2","M",39,"4","3","M","F","0"
"5043453",1,"1","F",53,"4","1","L","G","0"
"5043457",2,"1","F",22,"4","1","M","G","0"
"5043465",1,"1","F",35,"4","1","L","G","0"
"5043465",2,"1","F",31,"4","1","M","G","0"
"5043516",2,"1","-",21,"4","1","M","G","0"
"5043612",2,"1","F",18,"3","1","M","G","0"
"5043616",2,"1","F",51,"4","1","M","G","0"
"5043616",2,"2","F",998,"4","3","M","G","0"
"5043616",2,"2","M",998,"0","4","M","Q","0"
"5043616",2,"2","M",998,"0","6","M","Q","0"
"5043616",2,"2","F",998,"0","9","M","Q","0"
"5043616",2,"2","-",998,"0","9","M","Q","0"
"5043620",1,"1","M",30,"4","1","L","B","0"
"5043681",2,"1","M",36,"4","1","A","G","3"
"5043709",1,"1","F",37,"4","1","L","G","0"
"5043713",1,"2","F",61,"0","3","-","G","0"
"5043713",2,"1","F",49,"3","1","L","G","0"
"5043718",1,"2","F",18,"0","3","M","G","0"
"5043722",1,"1","F",79,"4","1","M","G","3"
"5043722",2,"1","M",63,"4","1","M","G","3"
"5043726",1,"1","F",19,"4","1","M","G","0"
"5043726",1,"2","M",20,"0","3","M","G","0"
"5043730",2,"1","F",22,"4","1","M","G","0"
"5043730",2,"2","M",51,"4","3","M","G","0"
"5043738",2,"1","F",59,"4","1","M","G","0"
"5043742",2,"3","M",17,"4","9","-","-","0"
